Medical Instructions,We are going to suck out your phlegm,Kita akan mengeluarkan dahak anda ,,သင်၏ချွဲကိုစုပ်ထုတ်ပေးပါမည်။,Ще изсмучем храчките ви. ,我们要在你的颈项的部位部位打针来给你药物,Papalitan namin ang iyong diaper,Nous allons aspirer vos mucosités,ພວກເຮົາຈະດູດຂີ້ກະເທິຂອງທ່ານອອກ,痰を抜きますね。,ខ្ញុំនឹងបូមស្លេះអ្នកចេញ,Wir werden Ihre Phlegma herauszusaugen,અમે તમારું cough બહાર કાઢી રહ્યા છીએ,,נִשְׁאַב לְךָ/לָךְ אֶת הַלֵּיחָה.,Sunday,अब हम आपका कफ बाहर निकालेंगे,Stiamo andando a succhiare il vostro catarro,왼쪽으로 돌아 누우세요,Kami akan sedut keluar kahak anda,,आम्ही आपल्या कफ बाहेर चोखणे जात आहेत,हामी  तपाई  को  खकार  निकाल्न  लागेका  छौं .,ਅਸੀਂ ਤੁਹਾਡੀ ਬਲਗਮ ਕਢਣ ਲਗੇ ਹਾਂ,Nós estamos indo para sugar o seu catarro,Мы собираемся выкачать у вас мокроту,,Vamos a succionarle la flema,உங்களது நுரையீரல் பாதிக்கப்பட்டிருக்கிறது. நீங்கள் சுலபமாக மூச்சு விட நாங்கள் ஒரு சுவாசக் குழாயை பொறுத்தப்போகின்றோம்,మేము మీ కఫాన్ని పీల్చి తొలగించబోతున్నాం,เราจะดูดเสมหะของคุณออกไป,Biz balgamı dışarı emmek için gidiyoruz,Chúng tôi sẽ hút dịch đờm,
Medical Instructions,We are going to clean you with a sponge,Kita akan membersihkan anda dengan spons,,သင့်ကိုသန့်ရှင်းရေးလုပ်ပေးပါမည်။,Ще ви почистим с гъба. ,我们要帮你打针在手的部位来量你的体温,Itaas ang hita,Nous allons vous nettoyer avec une éponge,ພວກເຮົາຈະທຳຄວາມສະອາດໃຫ້ທ່ານດ້ວຍຟອງນ້ຳ,スポンジで体を拭きますね。,ខ្ញុំនឹងសំអាតអ្នកជាមួយអេប៉ុង,Wir werden Sie mit einem Schwamm reinigen,હવે સ્પોન્જ વડે તમને સાફ કરી રહ્યા છીએ,,אֲנַחְנוּ עוֹמְדִים לְנַקּוֹת אוֹתְךָ/אוֹתָךְ עִם סְפוֹג,You are getting better,अब हम आपको एक स्पंज से साफ करेंगे,Stiamo andando a pulire con una spugna,몸을 오른쪽으로 돌리세요,Kami akan membersihkan anda dengan span,,आम्ही एक स्पंज आपण स्वच्छ जात आहेत,हामी  तपाइलाई  स्पन्ज  ले  सफा  गर्न  लागेका  छौं .,ਅਸੀਂ ਤੁਹਾਨੂੰ ਸਪੰਜ ਨਾਲ ਸਾਫ ਕਰਨ ਜਾ ਰਹੇ ਹਾਂ,Nós vamos limpar-lo com uma esponja,Мы собираемся вытереть вас губкой,,Vamos a limpiarte con una esponja,நீங்கள் இப்போது தூங்கப் போகிறீர்கள்.,మేము మిమ్మల్ని స్పాంజితో శుభ్రం చేయబోతున్నాం,เราจะทำความสะอาดคุณด้วยฟองน้ำ,Biz bir sünger ile temizlemek için gidiyoruz,Chúng tôi sẽ lau người anh/chị bằng miếng mút,
Medical Instructions,Turn left,Hadap ke kiri anda,,ဘယ်ဘက်ကိုလှည့်ပါ။,Обърни се наляво.,我们给你睡觉的药,I-uupo ka namin,Tournez à gauche,ປິ່ນໄປທາງຊ້າຍ,左を向いてください。,សូមបង្វិលឆ្វេង,Biegen Sie links ab,ડાબે વળો,,פָּנָה/פְּנִי שְׂמֹאלָהּ / תִּתְהַפֵּךְ/תִּתְהַפְּכִי שְׂמֹאלָה,We will remove the breathing tube after sometime when you are better,बाएँ मुड़ें,Girare a sinistra,오르쪽으로 돌아 누우세요,Pusing kiri,,डावीकडे वळा,देब्रे  फर्कनुस .,ਖੱਬੇ ਮੁੜੋ,Vire à esquerda,Повернитесь налево,,Gire a su izquierda,நீங்கள் சுலபமாக மூச்சு விட (உங்களின் நுரையீரலை விரிவாக்க) உங்களை குப்புற படுக்க வைக்கின்றோம் ,ఎడమవైపు తిరగండి,หันซ้าย,sola,Quay sang trái,
Medical Instructions,Turn right,Hadap ke kanan anda,,ညာဘက်ကိုလှည့်ပါ။,Обърнeте се надясно.,我们给你止痛药,I-aangat lang namin ang kama,Tournez à droite,ປິ່ນໄປທາງຂວາ,右を向いてください。,សូមបង្វិលស្តាំ,Biegen Sie rechts ab,જમણી બાજુ વાળો,,פָּנָה/פְּנִי יָמִינָה / תִּתְהַפֵּךְ/תִּתְהַפְּכִי יָמִינָה,You can talk after we remove the breathing tube,दायें  मुड़ें,Girare a destra,기저귀를 갈겠습니다,Pusing kanan,,उजवीकडे वळा,दायाँ  फर्कनुस .,ਸੱਜੇ ਮੁੜੋ,Vire à direita,Повернитесь направо,,Gire a su derecha,நீங்கள் சிறுநீர் கழிக்க ஒரு குழாயை நாங்கள் பொறுத்தபோகின்றோம்,కుడివైపుకు తిరగండి,หันขวา,Sağa dönün,Quay sang phải ,
Medical Instructions,We will change your diapers,Kita akan mengganti popok anda,,Diaperလဲပေးပါမည်။,Ще ви сменим памперса. ,我们给你药物让你的血压提高,I-aangat ka lang namin sa kama,Nous allons changer vos couches,ພວກເຮົາຈະປ່ຽນຜ້າອ້ອມໃຫ້ທ່ານ,おむつを替えますね。,ខ្ញុំនឹងប្លាស់ប្តូរខោទឹកនោមរបស់អ្នក,Wir werden Ihre Windeln wechseln,હવે અમે તમારા ડાયપર બદલશું,,נַחֲלִיף לְךָ/לָךְ אֶת הַטִּיטוּל.,Take a deep breath,हम  आपके  डायपर बदलेंगे,Cambieremo i vostri pannolini,다리를 올려주세요,Kami akan tukarkan lampin anda,,आम्ही आपल्या diapers बदलेल,हामी  तपाइको  दाइपर   फेर्न  लागेका  छौं ,ਅਸੀਂ ਤੁਹਾਡੇ ਡਾਇਪਰ ਬਦਲ ਦੇਵਾਂਗੇ,Vamos mudar suas fraldas,Мы заменим ваши подгузники,,Le vamos a cambiar los pañales,நாங்கள் உங்களது மூக்கின் வாயிலாக ஒரு குழாயை நுழைக்க போகின்றோம் ,మేము మీ డైపర్లను మారుస్తాము,เรากำลังจะเปลี่ยนผ้าอ้อมของคุณ,Biz bezini değişecek,Chúng tôi sẽ thay tã cho anh/chị,
Medical Instructions,Lift up your leg,Angkat kaki anda,,သင်၏ခြေထောက်ကိုမြှောက်‌ပေးပါ။,Повдигнете крака си.,我们帮你拿掉呼吸管,Lilinisin namin ang iyong bibig,Soulevez la jambe,ຍົກຂາຂອງທ່ານຂຶ້ນ,足をあげてください。,សូមលើកជើងទ្បើង,Heben Sie Ihr Bein,તમારો પગ ઉપર કરો,,הָרֵם/הָרִימִי אֶת הָרֶגֶל שֶׁלְּךָ/שֶׁלָּךְ,Give me a big cough,अपना पैर उठाएँ,Sollevare la gamba,앉아주세요,Angkat kaki anda,,आपल्या लेग उभारा,खुट्टा  माथि  उठाउनुस ,ਆਪਣੀ ਲੱਤ ਚੁੱਕੋ,Levante sua perna,Поднимите ногу,,Levante la pierna,உங்களுக்கு மருந்தளிக்க உங்களது கழுத்து பகுதியில் நாங்கள் ஒரு ஊசியை பொறுத்தப்போகின்றோம் ,మీ కాలు పైకి ఎత్తండి,ยกขาขึ้น,Bacağını yukarı kaldırın,Giơ chân lên nào,
Medical Instructions,We are going to sit you up,Kita akan membantu anda untuk duduk,,သင့်ကိုထိုင်ရန်ထူပေးပါမည်။,Ще ви помогнем да седнете. ,我们帮你抽谈,Huwag lunukin ang solusyong gamit sa pagmumog,Nous allons vous asseoir,ພວກເຮົາຈະພະຍຸງທ່ານໃຫ້ນັ່ງ,今から起こしますね。,យើងនឹងជួយអ្នកអង្គុយ,Wir werden Sie sitzen,હવે અમે તમને બેસાડવા જઈ રહ્યા છીએ,,אֲנַחְנוּ עוֹמְדִים לְהוֹשִׁיב אוֹתְךָ/אוֹתָךְ.,Don't move,अब हम आपको बिठाएंगे,Stiamo andando a sedersi in su,침대를 올리겠습니다,Kami akan dudukkan anda,,आम्ही आपण बसल्यावर जात आहेत,हामी  तपाइलाई  उठाएर  बसाउने  छौं ,ਅਸੀਂ ਤੁਹਾਨੂੰ ਬਿਠਾਣ ਲਗੇ ਹਾਂ,Vamos sentar-te,Мы собираемся вас посадить,,Lo estamos sentando,உங்களுடைய இரத்த அழுத்தத்தை உறுதிசெய்ய உங்களது கையில் நாங்கள் ஒரு ஊசியை பொறுத்தப்போகின்றோம் ,మేము మిమ్మల్ని కూర్చునేలా చేస్తాము,เราจะช่วยคุณลุกขึ้นนั่ง,Seni yukarı oturmak için gidiyoruz,Chúng tôi sẽ đỡ anh/chị ngồi dậy,
Medical Instructions,We are going to shift you up the bed,Kita akan membantu anda ke atas ranjang,,သင့်ကိုအပေါ်ကိုရွေ့ပေးပါမည်။,Ще ви наместим нагоре в леглото.,我们帮你清洗,Mayroon ka bang nararamdaman na masakit ngayon?,Nous allons vous déplacer vers le haut du lit,ພວກເຮົາຈະຍົກທ່ານຂຶ້ນຈາກຕຽງ,ベッドの上の方に動かしますね。,យើងនឹងលើកអ្នកទ្បើងលើគ្រេ,Wir werden Sie auf dem Bett verschieben,હવે અમે તમને પથારીમાં સુવડાવવા જઈ રહ્યા છીએ,,אֲנַחְנוּ עוֹמְדִים לְהָרִים אוֹתְךָ/אוֹתָךְ מֵהַמִּיטָּה,Lift up your arm,अब हम आपको बिस्तर पर लिटाएंगे,Ci accingiamo a spostare in sul letto,몸을 침대 위로 옮기겠습니다,Kami akan bantu mengangkat anda ke bahagian atas katil.,,आम्ही बेड आपण स्थलांतर जात आहेत,हामी  तपाइलाई  खाटको  माथि  तिर  सार्न  लागेका  छौं ,ਅਸੀਂ ਤੁਹਾਨੂੰ ਬਿਸਤਰੇ 'ਤੇ ਲਿਜਾਣ ਜਾ ਰਹੇ ਹਾਂ,Vamos mudar-lo até a cama,Мы собираемся переложить вас на кровать,,Vamos a pasarte a la cama,நீங்கள் தூங்குவதற்கு  நாங்கள் உங்களுக்கு தூக்க மருந்தை கொடுக்க போகிறோம்,మేము మిమ్మల్ని మంచం మీద పైకి జరుపుబోతున్నాము,เราจะเลื่อนคุณขึ้นเตียง,Yatağın kadar sizi kaydırmaya olacak,Chúng tôi sẽ kéo anh/chị lên đầu giướng nhé ,
Medical Instructions,We are going to clean your mouth,Kita akan membersihkan mulut anda,,သင်၏ပါးစပ်ကိုသန့်ရှင်းပေးပါမည်။,Ще почистим устата ви. ,转左,Saang banda ang masakit?,Nous allons nettoyer votre bouche,ພວກເຮົາຈະທຳຄວາມສະອາດປາກຂອງທ່ານ,今から口の中をきれいにしますね。,យើងនឹងសំអាតមាត់របស់អ្នក,Wir werden den Mund reinigen,હવે અમે તમારું મોં સાફ કરી રહ્યા છીએ,,אֲנַחְנוּ עוֹמְדִים לְנַקּוֹת לְךָ/לָךְ אֶת הַפֶּה,Lift up your leg,अब हम आपका मुँह साफ करेंगे,Stiamo andando a pulire la bocca,입안을 세척 하겠습니다,Kami akan bersihkan mulut anda,,आम्ही आपले तोंड स्वच्छ जात आहेत,हामी  तपाइको  मुख  सफा  गर्न  लागेका  छौं ,ਅਸੀਂ ਤੁਹਾਡੇ ਮੂੰਹ ਨੂੰ ਸਾਫ ਕਰਨ ਜਾ ਰਹੇ ਹਾਂ,Nós estamos indo para limpar sua boca,Мы собираемся почистить ваш рот,,Vamos a limpiar su boca,நாங்கள் உங்களின் வலியை  நீக்க மருந்து கொடுக்க போகிறோம். ,మేము మీ నోరు శుభ్రం చేయబోతున్నాం,เราจะทำความสะอาดปากของคุณ,Biz ağzını temizlemek için gidiyoruz,Chúng tôi sẽ lau miệng cho anh/chị ,
Medical Instructions,Do not swallow the gargle, Jangan menelan air kumuran anda,,ပလုတ်ကျင်းပီးလျှင်မြိုမချပါနှင့်။,Не поглъщайте гаргарата.,转右,"Ang sakit na nararamdaman ba ay banayad, katamtaman o malubha?",N'avalez pas ce que vous venez de gargariser,ຫ້າມກືນນ້ຳມ້ວນປາກ,うがい薬を飲まないでくださいね。,សូមស្តោះចេញ​កុំលេបចូល,Nicht schlucken das Gurgeln,તમે કોગળો ગળી ના જતા--કોગળો કરીને થુંકી નાખજો,,אַל תִּבְלַע/תִּבְלְעִי אֶת הַתַּשְׁטִיף,Squeeze my hand,निगल न जाएं - कुल्ला करके थूंक दें,Non ingoiare il gargarismo,가글을 삼키지 마세요,Jangan telan air kumur,,खळखळून गुळण्या करणे चघळत नाही,मुख  कुल्कुल गर्ने पानि नानिल्नुस.,ਗਰਾਰੇ ਨੂੰ ਨਾ ਨਿਗਲੋ,Não engula o gargarejo,Не глотайте ополаскиватель,,No traje el gargajo,உங்களின் இரத்த அழுத்தத்தை நிலைக்காக்க நாங்கள் இந்த மருந்தை கொடுக்கிறோம் ,మీ నోటిలో ఉన్నదాన్ని మింగకండి,อย่ากลืนน้ำยาบ้วนปาก,gargara yutmayın,"Đừng nuốt nước súc miệng, chỉ súc vòng quanh thôi ",
Basic Terms,Are you in pain?,Apakah kamu sedang merasakan sakit?,,"
သင်နာကျင်နေပါသလား?",Боли ли ви?,我们要帮你换尿布,Maaring ituro mo kung anung parte ng katawan ang masakit?,Avez-vous mal quelque part ? ,ທ່ານເຈັບປວດບ່ອນໃດບໍ?,痛いですか？,តើអ្នកកំពុងឈឺទេ?,Hast Du Schmerzen?,તમને દુખાવો થઇ છે ?,,כּוֹאֵב לְךָ/לָךְ?,Show me two fingers,क्या आपको दर्द हो रहा है?,Ti senti male?,아프세요?,Ada sakit sekarang?,,तुम्हाला काही त्रास होतोय का?,के तिमी पिडामा छौ?,ਕੀ ਤੁਹਾਨੂੰ ਦਰਦ ਹੋ ਰਿਹਾ ਹੈ?,Você está com dor?,Вам больно?,,Tienes dolor?,நாங்கள் உங்களுக்கு பொருத்தப்பட்டுள்ள சுவாசக்குழாயை அகற்றப் போகிறோம் ,ఏ కంపెనీ కింద మీరు పనిచేస్తారు?,คุณรู้สึกเจ็บไหม,Biz ağzını temizlemek için gidiyoruz,Bạn có bị đau không?,
Basic Terms,Where is the pain?,Dimana letak sakit nya?,,နာကျင်မှုဘယ်မှာလဲ,Къде ви боли?,把脚提起来,Ulo,Où avez-vous mal ?,ເຈັບບ່ອນໃດ?,どこが痛いですか？,តើអ្នកឈឺត្រង់ណា?,Wo ist der Schmerz?,ક્યાં દુખે છે?,,אֵיפֹה כּוֹאֵב לְךָ/לָךְ?,Open your mouth,दर्द कहाँ है?,Dov'è il dolore?,고통은 어디에 있습니까?,Di mana sakit?,,वेदना कोठे आहे?,दुखाइ कहाँ छ?,ਦਰਦ ਕਿੱਥੇ ਹੈ?,Onde está a dor?,Где болит?,,Dónde duele?,"
நாங்கள் உங்களின் சலியை நீக்க போகிறோம்",మీ సూపర్వైజర్ పేరు ఇంకా ఫోన్ నెంబర్ ఏమిటి?,คุณรู้สึกเจ็บตรงไหน,gargara yutmayın,Đau ở đâu?,
Basic Terms,"Is it mild, moderate or severe?","Apakah sakit nya terasa ringan, lumayan atau parah?",,"
ပျော့၊ အလယ်အလတ်လား၊","Болката лека ли е, умерена или силна?",我们要让你坐起来,Mata,"L'intensité de la douleur est-elle légère, modérée ou sévère?","ເຈັບບໍ່ແຮງ, ເຈັບປານກາງ ຫຼື ເຈັບແຮງ?",軽い痛みですか、中くらいの痛みですか、強い痛みですか？,តើអ្នកឈឺកំរិតណា? ស្រាល? ល្មម? ធ្ងន់ធ្ងរ?,"Ist es leichter, mittelschwerer oder schwerer?",કેવું દુખે છે? થોડુ કે વધારે કે એ બેય ની વચ્ચે ?,,"הַאִם זֶה חַלָּשׁ, בֵּינוֹנִי אוֹ חָזָק?",Stick out your tongue,"यह दर्द क्या हल्का, मध्यम या गंभीर है?","È lieve, moderata o grave?",통증을 얼많아 심각해요? 조금? 경미한 통증? 심한 통증?,"Sakit sikit, sederhana atau teruk?",,"त्रास सौम्य, मध्यम किंवा तीव्र आहे का?",यो थोरै मध्यम वा कडा छ?,"ਕੀ ਇਹ ਦਰਦ ਹਲਕਾ, ਦਰਮਿਆਨਾ ਜਾਂ ਗੰਭੀਰ ਹੈ?","É leve, moderada ou grave?","Это легкая, умеренная или тяжелая?",,"Duele leve, moderado o mucho?",நாங்கள் உங்களது உடலை ஒரு ஸ்பான்ஜ்-ஆல் துடைக்கப்போகிறோம் ,మీరు వుంటున్న డోర్మ్ పేరు ఏంటి?,เจ็บน้อย เจ็บปานกลางหรือเจ็บมาก,Acın var mı?,"Đau ít, trung bình hay nhiều?",
Basic Terms,Can you point to the pain?,Apakah anda dapat tunjukkan letak sakitnya?,,"
သင်နာကျင်မှုကိုညွှန်ပြနိုင်ပါသလား?",Можете ли да посочите къде ви боли?,我们要扶你上床,Tenga,Indiquez où se situe la douleur s'il vous plaît,ທ່ານຊີ້ບ່ອນທີ່ເຈັບໃຫ້ເບິ່ງແດ່ໄດ້ບໍ?,どこが痛いか指差してもらえますか？,សូមអ្នកចង្អុលបង្ហាញកន្លែងឈឺ,Können Sie sich an den Schmerz zeigen?,ક્યાં દુખે છે? તમારી આંગળી થી બતાવો,,הַאִם אַתָּה/אַתְּ יָכוֹל/יְכוֹלָה לְהַצְבִּיעַ עַל אֵזוֹר הַכְּאֵב?,Open your eyes,दर्द कहाँ है? अपनी उंगली से दिखाइये ।,Si può puntare al dolore?,어디에 아픈지 좀 가르키세요.,Boleh tunjukkan mana sakit?,,आपण वेदना सूचित करू शकता?,तपाईं दुखाइ मा कुरा गर्न सक्छन्?,ਕੀ ਤੁਸੀਂ ਦਰਦ ਵੱਲ ਇਸ਼ਾਰਾ ਕਰ ਸਕਦੇ ਹੋ?,Você pode apontar para a dor?,Можете ли вы указать на боль?,,Puedes apuntar a donde duele?,இடது பக்கம் திரும்பவும்,ఈ డోర్మ్ క్లస్టర్ లో వుందా?,คุณชี้ไปตำแหน่งที่รู้สึกเจ็บได้ไหม,Ağrı nerede?,Bạn có thể chỉ chỗ bạn bị đau?,
Basic Terms,Head,Kepala,,ဦးခေါင်း,глава,我帮你清洗口,Ilong,La tête,ຫົວ,頭,ក្បាល,Kopf,માથું,,רֹאשׁ,"I'm going to shine a light into your eyes. It will be uncomfortable, please bear with me",सिर,Capo,머리,Kepala,,डोके,टाउको,ਸਿਰ,Cabeça,Голова,,cabeza,வலது பக்கம் திரும்பவும்,మీ రూములో ఎంతమంది వున్నారు?,หัว,"hafif, orta veya şiddetli mı?",Đầu,
Basic Terms,eyes,Mata,,မျက်စိ,очи,不要把液体吞下去,Bibig,Les yeux,ຕາ,目,ភ្នែក,Augen,આંખો,,עֵינַיִים,Your lungs are weak. We are going to insert a breathing tube to help you breathe.,आंखें,occhi,눈,Mata,,डोळे,आँखा,ਅੱਖਾਂ,olhos,глаза,,ojos,நாங்கள் உங்களுடைய டயப்பரை இப்போது மாற்றப்போகிறோம்,liver సమస్య,ตา,Acıya işaret edebilir?,Mắt,
Basic Terms,ears,Telinga,,နားရွက်,уши,您现在哪里有痛吗？,Lalamunan,Les oreilles,ຫູ,耳,ត្រចៀក,Ohren,કાન,,אָזְנַיִים,You are going to sleep now,कान,orecchie,귀,Telinga,,कान,कान,ਕੰਨ,orelhas,уши,,orejas,உங்களது காலை தூக்கவும்,క్యాన్సర్,หู,baş,Tai,
Basic Terms,nose,Hidung,,နှာခေါင်း,нос,痛在哪里？,Dibdib,Le nez,ດັງ,鼻,ច្រមុះ,Nase,નાક,,אַף,We are inserting a tube to help you pass urine,नाक,naso,코,Hidung,,नाक,नाक,ਕੰਨ,nariz,нос,,nariz,நாங்கள் உங்களை உட்கார வைக்கப்போகின்றோம். ,మీరు మానసికంగా ఎలా వున్నారు? (👍🏽👎🏽),จมูก,gözler,Mũi,
Basic Terms,mouth,Mulut,,ပါးစပ်,уста,您的痛，是轻微的痛，中等的痛，还是非常痛？,Tiyan,La bouche,ປາກ,口,មាត់,Mund,મોઢું,,פֶּה,We are inserting a tube through your nose to your stomach to allow us to feed you,मुंह,bocca,입,Mulut,,तोंड,मुख,ਮੂੰਹ,boca,рот,,boca,நாங்கள் உங்களது படுக்கையை உயர்த்தப்போகின்றோம்.,"మీకు ఆత్మహత్య చేసుకోవాలన్న ఆలోచన వస్తోOదా?: జీవితంలో అర్ధంలేదనిపిస్తోOదా? మిమ్మల్ని మీరు దండిoచుకోవాలని, చనిపోవాలని అనిపిస్తోOదా?",ปาก,kulaklar,Miệng,
Basic Terms,throat ,Tenggorokan,,လည်ချောင်း,гърло,您能指一下给我看痛在哪里吗？,Likod,La gorge,ຄໍ,喉,បំពង់ករ,Kehle,ગળું,,גָּרוֹן,We are going to give you an injection in your neck to give you medications,गला,gola,목,Tekak,,घसा,घाँटी,ਗਲਾ,garganta,горло,,garganta,நாங்கள் உங்களது வாயை சுத்தம் செய்யப்போகின்றோம்.,మీ కరోనా  వయిరస్ టెస్ట్ పాజిటివ్ గా వచ్చింది.,ลำคอ,burun,Cổ họng,
Basic Terms,chest,Dada,,သေတ္တာ,гръден кош,头,Braso,Le poitrine,ເອິກ/ໜ້າເອິກ,胸,ដើមទ្រូង,Truhe,છાતી,,חָזֶה,We are also going to give you an injection in your arm to measure your blood pressure,छाती,il petto,가슴,Dada,,छाती,छाती,ਛਾਤੀ,peito,грудь,,pecho,நீங்கள் கொப்பிளித்ததை முழுங்க வேண்டாம்.,మిమ్మల్ని హాస్పిటల్కు తీసుకు వెళ్ళాలి.,หน้าอก,ağız,Ngực,
Basic Terms,abdomen,Perut,,ဝမ်း,корем,眼睛,Hita,L'abodomen,ທ້ອງນ້ອຍ,腹部,ពោះ,Abdomen,પેટ,,בֶּטֶן,We will give you sleeping medications,पेट,addome,복부,Perut,,उदर,भुँडी,ਪੇਟ,abdômen,живот,,abdomen,உடலில் ஏதேனும் வலியுண்டா?,"మిమ్మల్ని విడిగా ఉంచడానికి ఒక ఏర్పాటు చేసిన వార్డ్
లో మారుస్తాము.",ท้อง,boğaz,Bụng,
Basic Terms,back,Punggung,,ပြန်.,гръб,耳朵,Paa,Le dos,ຫຼັງ,背中,ខ្នង,zurück,વાંસો / પીઠ,,גַּב,We will give you painkillers,पीठ,indietro,등,Belakang,,पाठ,फिर्ता,ਪਿਠ,de volta,спина,,espalda,உடலில் எங்கு வலிக்கின்றது?,మీకు తినిపించడము కోసం మీ ముక్కులోను ఒక ట్యూబ్ కడుపు వరకు పెడుతున్నాము,หลัง,göğüs,Lưng,
Basic Terms,arms,Lengan,,လက်နက်,ръце,鼻子,Isa,Les bras,ແຂນ,腕,ដៃ,Waffen,હાથ / બાવડાં,,יָדַיִים,We are giving you medications to keep your blood pressure up,"हाथ, भुजाएं",braccia,팔,Lengan,,हात,हतियार,ਬਾਂਹ,braços,руки,,brazos,எவ்வளவு வலிக்கின்றது? கொஞ்சமாகவா? மிதமாகவா? இல்லை அதிகமாகவா?,ఒకటి నుOచి మూడు వరకు లెక్కపెట్టి మిమల్ని బెడ్ మీదకి మారుస్తాము. ఒకటి..రెOడు..మూడు..,แขน,karın,Cánh tay,
Basic Terms,legs,Kaki,,ခြေထောက်,крака,嘴巴/口,Dalawa,Les jambes,ຂາ,脚,ជើង,Beine,પગ,,רַגְלַיִים,We are going to remove the breathing tube,पैर,gambe,다리,Kaki,,पाय,खुट्टा,ਲੱਤਾਂ,pernas,ноги,,piernas,வலிக்கின்ற இடத்தை சுட்டிக்காட்ட முடியுமா?,మీకు ఎక్కడైనా నొప్పి ఉందా?,ขา,geri,Chân,
Basic Terms,feet,Kaki bawah ,,ခြေဘဝါး,стъпала,喉咙,Tatlo,Les pieds,ຕີນ,足,បាតជើង,Füße,પગ નો પંજો,,כַּפּוֹת רַגְלַיִים,We are going to suck out your phlegm,पाँव,piedi,발,Kaki,,पाय,खुट्टा,ਪੈਰ,pés,ступни,,pies,தலை,నొప్పి ఎక్కడ ఉంది?,เท้า,silâh,Đôi chân,
Basic Terms,1 - one,satu,,1 - တဦးတည်း,1 - едно,胸口,Apat,Un,1 - ໜຶ່ງ,一,មួយ,1 - Ein,1 - એક,,אֶחָד,We are going to clean you with a sponge,1 एक,1 uno,1 - 일,satu,,1 - एक,1 - एक,ਇੱਕ,1 um,1 - один,,1 - uno,கண்கள்,"కొOచెమా, మధ్యస్తమా, చాలా ఎక్కువగా వుOదా?",หนึ่ง,bacaklar,1 - Một,
Basic Terms,2 - two,dua,,2 - နှစ်ခု,2 - две,腹部,Lima,Deux,2 - ສອງ,二,ពីរ,2 - zwei,2 - બે,,שְׁתַּיִים,Turn left,2 - दो,2 - due,2 - 이,dua,,2 - दोन,2 - दुई,ਦੋ,2 - dois,2 - два,,2 - dos,காதுகள்,నొప్పి ఎక్కడ ఉందో చూపించండి,สอง,ayaklar,2 - Hai,
Basic Terms,3 - three,tiga,,3 - သုံး,3 - три,背,Anim,Trois,3 - ສາມ,三,បី,3 - drei,3 - ત્રણ,,שָׁלוֹשׁ,Turn right,3 - तीन,3 - tre,3 - 삼,tiga,,3 - तीन,3 - तीन,ਤਿੰਨ,3 - três,3 - три,,3 - tres,மூக்கு,తల,สาม,1 bir,3 - Ba,
Basic Terms,4 - four,empat,,4 - လေး,4 - четири,手,Pito,Quatre,4 - ສີ່,四,បួន,4 - vier,4 - ચાર,,אַרְבַּע,We are going to change your diapers,4 - चार,4 - quattro,4 - 사,empat,,4 - चार,4 - चार,ਚਾਰ,4 - quatro,4 - четыре,,4 - cuatro,வாய்,కళ్ళు,สี่,2 - İki,4 - Bốn,
Basic Terms,5 - five,lima,,5 - ငါး,5 - пет,腿,Walo,Cinq,5 - ຫ້າ,五,ប្រាំ,5 - fünf,5 - પાંચ,,חָמֵשׁ,We are going to sit you up,5 - पाँच,5 - cinque,5 - 오,lima,,5 - पाच,5 - पाँच,ਪੰਜ,5 - cinco,5 - пять,,5 - cinco,தொண்டை,చెవులు,ห้า,3 - Üç,5 - Năm,
Basic Terms,6 - six,enam,,6 - ခြောက်လ,6 - шест,脚,Siyam,Six,6 - ຫົກ,六,ប្រាំមួយ,6 - sechs,6 - છ,,שֵׁשׁ,"When i count to 3, we will shift you up the bed",6 - छह,6 - sei,6 - 육,enam,,6 - सहा,6 - छ,ਛੇ,6 - seis,6 - шесть,,6 - seis,மார்பு,ముక్కు,หก,4 - Dört,6 - Sáu,
Basic Terms,7 - seven,tujuh,,7 - ခုနစျပါး,7 - седем,一,Sampu,Sept,7 - ເຈັດ,七,ប្រាំពីរ,7 - sieben,7 - સાત,,שֶׁבַע,We are going to clean your mouth,7 - सात,7 - sette,7 - 칠,tujuh,,7 - सात,7 - सात,ਸੱਤ,7 - sete,7 - семь,,7 - siete,வயிற்றுப்பகுதி,నోటి,เจ็ด,5 - Beş,7 - Bảy,
Basic Terms,8 - eight,delapan,,8 - ရှစ်,8 - осем,二,Zero,Huit,8 - ແປດ,八,ប្រាំបី,8 - acht,8 - આઠ,,שְׁמוֹנֶה,Do not swallow the gargle,8 - आठ,8 - otto,8 - 팔,lapan,,8 - आठ,8 - आठ,ਅੱਠ,8 - oito,8 - восемь,,8 - ocho,முதுகு,గొంతు,แปด,6 - altı,8 - Tám,
Basic Terms,9 - nine,sembilan,,9 - ကိုး,9 - девет,三,Enero,Neuf,9 - ເກົ້າ,九,ប្រាំបួន,9 - neun,9 - નવ,,תֵּשַׁע,Are you in pain?,9 - नौ,9 - nove,9 - 구,sembilan,,9 - नऊ,9 - नौ,ਨੌ,9 - nove,9 - девять,,9 - nueve,கைகள் ,ఛాతి ,เก้า,7 - yedi,9 - Chín,
